iter	Passed	Remaining
0	145	145805
1	147	73559
2	148	49269
3	149	37117
4	149	29798
5	150	24924
6	151	21451
7	152	18852
8	152	16825
9	153	15204
10	154	13878
11	155	12773
12	155	11842
13	156	11044
14	157	10351
15	158	9743
16	159	9209
17	160	8744
18	161	8328
19	162	7952
20	163	7606
21	164	7290
22	164	6998
23	165	6729
24	166	6480
25	166	6254
26	167	6044
27	168	5857
28	169	5678
29	170	5509
30	171	5353
31	172	5204
32	172	5065
33	173	4936
34	174	4810
35	175	4703
36	177	4607
37	177	4502
38	178	4401
39	179	4306
40	180	4213
41	180	4127
42	181	4043
43	182	3968
44	183	3895
45	184	3822
46	185	3754
47	185	3687
48	186	3621
49	187	3560
50	188	3501
51	188	3443
52	189	3387
53	190	3334
54	191	3282
55	191	3233
56	192	3183
57	193	3136
58	193	3090
59	194	3046
60	195	3003
61	195	2963
62	196	2923
63	197	2892
64	198	2861
65	199	2825
66	200	2790
67	201	2756
68	201	2722
69	202	2689
70	203	2658
71	203	2628
72	204	2598
73	205	2570
74	206	2542
75	206	2514
76	207	2488
77	208	2463
78	209	2437
79	209	2411
80	210	2387
81	211	2363
82	211	2336
83	212	2319
84	213	2297
85	214	2276
86	214	2255
87	215	2235
88	216	2214
89	217	2194
90	217	2175
91	218	2157
92	219	2138
93	220	2120
94	220	2102
95	221	2084
96	222	2066
97	222	2049
98	223	2032
99	224	2016
100	224	2000
101	225	1984
102	226	1969
103	227	1956
104	227	1943
105	228	1928
106	229	1915
107	230	1903
108	231	1889
109	231	1876
110	232	1863
111	233	1851
112	234	1838
113	234	1826
114	235	1814
115	236	1801
116	237	1788
117	237	1776
118	238	1764
119	239	1753
120	239	1742
121	240	1730
122	241	1718
123	241	1708
124	242	1698
125	243	1690
126	244	1679
127	244	1669
128	245	1658
129	246	1648
130	246	1638
131	247	1629
132	248	1619
133	249	1609
134	249	1600
135	250	1591
136	251	1582
137	251	1573
138	252	1564
139	253	1555
140	253	1547
141	254	1537
142	255	1529
143	255	1520
144	256	1512
145	257	1506
146	258	1498
147	259	1491
148	259	1483
149	260	1476
150	261	1468
151	261	1461
152	262	1454
153	263	1447
154	264	1440
155	264	1433
156	265	1426
157	266	1419
158	267	1412
159	267	1406
160	268	1398
161	269	1392
162	269	1385
163	270	1379
164	271	1374
165	272	1371
166	273	1365
167	274	1359
168	275	1353
169	275	1347
170	276	1341
171	277	1335
172	278	1329
173	278	1323
174	279	1318
175	280	1312
176	281	1306
177	281	1301
178	282	1295
179	283	1290
180	283	1284
181	284	1279
182	285	1274
183	286	1269
184	287	1264
185	288	1260
186	288	1255
187	289	1250
188	290	1245
